,seed,backend,dt,neuron_type,n_type,N,min_max_rate,max_max_rate,tau,tau_control,dimensions,base_theta,effective_theta,within_gain_noise_std,between_gain_noise_std,input_noise_std,task_type,full_output,trial_duration,prestim,rt,estimate,control
19494,856,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,1.0,0.0,0.01,0.4,prospective_sensory,False,1.0,0.0,,0.6269812746686863,0.9973296553130098
19495,1049,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.5,0.4,0.01,0.8,prospective_sensory,False,0.5,0.0,,0.5986362960894684,2.0046909314768784
19496,12623,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,4.0,0.4,0.005,0.8,prospective_sensory,False,4.0,0.0,,0.6127417975306275,0.24492253964281632
19497,21514,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,1.0,0.4,0.01,0.4,prospective_sensory,False,1.0,0.0,,0.6293432361147215,0.9940555572881633
19498,6452,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,1.0,0.8,0.01,0.8,prospective_sensory,False,1.0,0.0,,0.6037475908203018,0.9867691954793978
19499,5644,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.5,0.0,0.0,0.4,prospective_sensory,False,0.5,0.0,,0.6351012560986309,2.0
19500,11258,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.5,0.8,0.01,0.8,prospective_sensory,False,0.5,0.0,,0.6103025266161511,1.9894474857025999
19501,13287,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,2.0,0.4,0.0,0.0,prospective_sensory,False,2.0,0.0,,0.627477032295348,0.5
19502,1111,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,1.4142135623730951,0.4,0.0,0.4,prospective_sensory,False,1.4142135623730951,0.0,,0.6258989610969651,0.7071067811865475
19503,4661,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.3535533905932738,0.8,0.005,0.8,prospective_sensory,False,0.3535533905932738,0.0,,0.6235315626484933,2.8177265190021767
19504,23141,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.5,0.0,0.0,0.8,prospective_sensory,False,0.5,0.0,,0.6101008593804552,2.0
19505,23380,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.3535533905932738,0.8,0.01,0.4,prospective_sensory,False,0.3535533905932738,0.0,,0.5972788878029762,2.830710275463921
19506,5233,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,1.0,0.4,0.01,0.4,prospective_sensory,False,1.0,0.0,,0.6178156051076273,1.0165633593417358
19507,19039,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.7071067811865476,0.4,0.0,0.4,prospective_sensory,False,0.7071067811865476,0.0,,0.6308102793891271,1.414213562373095
19508,10656,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,2.8284271247461903,0.0,0.01,0.0,prospective_sensory,False,2.8284271247461903,0.0,,0.6200263300911528,0.34529321963188236
19509,3818,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,2.0,0.0,0.005,0.8,prospective_sensory,False,2.0,0.0,,0.6370723225603204,0.502028665263464
19510,14778,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,2.8284271247461903,0.0,0.005,0.0,prospective_sensory,False,2.8284271247461903,0.0,,0.6317815417983357,0.35650501138220697
19511,10500,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.3535533905932738,0.8,0.01,0.0,prospective_sensory,False,0.3535533905932738,0.0,,0.612349944041595,2.8196106147828366
19512,5888,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.5,0.0,0.0,0.8,prospective_sensory,False,0.5,0.0,,0.6131528917241762,2.0
19513,10779,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.7071067811865476,0.8,0.0,0.0,prospective_sensory,False,0.7071067811865476,0.0,,0.6332947403934979,1.414213562373095
19514,20002,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.5,0.4,0.01,0.4,prospective_sensory,False,0.5,0.0,,0.6047943539866714,1.9941616846658459
19515,3330,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,2.0,0.0,0.005,0.0,prospective_sensory,False,2.0,0.0,,0.624438631688706,0.4949776952867999
19516,1828,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,1.0,0.0,0.01,0.4,prospective_sensory,False,1.0,0.0,,0.6284616694796382,1.0119397262040004
19517,17087,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.5,0.4,0.01,0.8,prospective_sensory,False,0.5,0.0,,0.6382101989518191,1.996354244500247
19518,10455,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.25,0.8,0.0,0.0,prospective_sensory,False,0.25,0.0,,0.5983755436655576,4.0
19519,3704,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.5,0.4,0.0,0.8,prospective_sensory,False,0.5,0.0,,0.6010602131828773,2.0
19520,8523,nengo,0.001,default,Direct(),200,20,50,0.1,0.005,1,1.0,0.25,0.0,0.01,0.0,prospective_sensory,False,0.25,0.0,,0.6126445915496587,3.998401415636823
